name,molecule,ksize,sigma,expected_collisions,n_unique_kmers,n_theoretical_kmers_log10,n_unique_kmers_log10,unique_over_theoretical_log10
bacteria,protein20,2,20,2.56000119808035e-26,400,2.6020599913279625,2.6020599913279625,0.0
bacteria,protein20,3,20,4.09600191692856e-21,8000,3.9030899869919438,3.9030899869919438,0.0
bacteria,protein20,4,20,6.525794613036497e-16,159843,5.204119982655925,5.203693621978123,-0.0004263606778023288
bacteria,protein20,5,20,6.018420202276196e-11,2789332,6.505149978319906,6.4455002092057425,-0.05964976911416375
bacteria,protein20,6,20,1.3190043655430085e-07,19241387,7.8061799739838875,7.284236374600719,-0.5219435993831683
bacteria,protein20,7,20,1.7107676107167407e-06,36834852,9.107209969647869,7.566258929227893,-1.5409510404199755
bacteria,protein20,8,20,2.9596577066104163e-06,42362341,10.40823996531185,7.6269799517964,-2.7812600135154497
bacteria,protein20,9,20,3.645783435286628e-06,44681674,11.709269960975831,7.65012943560167,-4.059140525374161
bacteria,protein20,10,20,4.224641506017829e-06,46397424,13.010299956639813,7.666493869053991,-5.343806087585821
bacteria,protein20,11,20,4.7634314417418755e-06,47843047,14.311329952303794,7.67981883095416,-6.631511121349634
bacteria,protein20,12,20,5.265421458817425e-06,49087630,15.612359947967775,7.690972064432952,-7.921387883534823
bacteria,protein20,13,20,5.7326035239925415e-06,50170112,16.913389943631756,7.70044507054993,-9.212944873081828
bacteria,protein20,14,20,6.165787297569338e-06,51116619,18.214419939295738,7.708562120615863,-10.505857818679875
bacteria,protein20,15,20,6.566056589754988e-06,51947000,19.51544993495972,7.715560471603177,-11.799889463356543
bacteria,protein20,16,20,6.933737789302707e-06,52677104,20.8164799306237,7.7216218909785965,-13.094858039645104
bacteria,protein20,17,20,7.269841780708869e-06,53321665,22.11750992628768,7.726903702051324,-14.390606224236357
bacteria,protein20,18,20,7.5774159584630595e-06,53892203,23.418539921951663,7.731525937004606,-15.687013984947058
bacteria,protein20,19,20,7.856759865721594e-06,54396830,24.719569917615644,7.735573591727203,-16.98399632588844
bacteria,protein20,20,20,8.111170259417878e-06,54843545,26.020599913279625,7.739125519133148,-18.28147439414648
bacteria,protein20,21,20,8.341200159909079e-06,55239778,27.321629908943606,7.742251924548724,-19.57937798439488
